CustomerID,Total_Revenue,Customer_Segment
15601.0,6776.56,Medium Value
16652.0,6773.97,Medium Value
18055.0,6761.34,Medium Value
16532.0,6748.8,Medium Value
15023.0,6720.41,Medium Value
13576.0,6717.34,Medium Value
15249.0,6688.46,Medium Value
16746.0,6680.11,Medium Value
16353.0,6675.71,Medium Value
12626.0,6620.48,Medium Value
16182.0,6617.65,Medium Value
15144.0,6580.44,Medium Value
12472.0,6572.11,Medium Value
17338.0,6493.54,Medium Value
18223.0,6484.54,Medium Value
15694.0,6479.4,Medium Value
13225.0,6463.84,Medium Value
13102.0,6424.09,Medium Value
12431.0,6419.95,Medium Value
16814.0,6416.7,Medium Value
13871.0,6403.25,Medium Value
12359.0,6310.03,Medium Value
13668.0,6309.83,Medium Value
13709.0,6307.650000000001,Medium Value
15005.0,6295.37,Medium Value
16126.0,6287.77,Medium Value
17315.0,6281.23,Medium Value
14057.0,6211.66,Medium Value
12357.0,6207.67,Medium Value
14060.0,6140.42,Medium Value
13418.0,6127.43,Medium Value
15939.0,6115.01,Medium Value
17509.0,6083.64,Medium Value
14735.0,6065.69,Medium Value
13097.0,6003.22,Medium Value
12637.0,6002.9,Medium Value
14101.0,5976.79,Medium Value
15382.0,5955.71,Low Value
14944.0,5900.25,Low Value
13209.0,5891.61,Low Value
13534.0,5870.08,Low Value
14505.0,5859.43,Low Value
14415.0,5855.57,Low Value
13050.0,5836.86,Low Value
12720.0,5781.73,Low Value
15218.0,5756.89,Low Value
17686.0,5739.46,Low Value
13316.0,5732.93,Low Value
13178.0,5725.47,Low Value
16553.0,5719.82,Low Value
13468.0,5704.97,Low Value
14110.0,5683.15,Low Value
17716.0,5655.99,Low Value
13004.0,5655.91,Low Value
17049.0,5655.03,Low Value
18118.0,5625.08,Low Value
17757.0,5593.39,Low Value
12839.0,5591.42,Low Value
12481.0,5579.82,Low Value
14688.0,5579.1,Low Value
14049.0,5578.72,Low Value
16767.0,5575.56,Low Value
12539.0,5568.35,Low Value
16161.0,5533.67,Low Value
18225.0,5504.96,Low Value
16609.0,5493.46,Low Value
15805.0,5488.18,Low Value
16985.0,5464.12,Low Value
16265.0,5447.0,Low Value
18198.0,5425.56,Low Value
12490.0,5417.93,Low Value
17809.0,5411.91,Low Value
16701.0,5398.3,Low Value
17719.0,5396.04,Low Value
17850.0,5391.21,Low Value
16303.0,5360.63,Low Value
13269.0,5343.28,Low Value
17730.0,5298.4800000000005,Low Value
15150.0,5291.33,Low Value
17061.0,5232.2300000000005,Low Value
18226.0,5228.05,Low Value
12362.0,5226.23,Low Value
16258.0,5203.51,Low Value
13756.0,5189.52,Low Value
16191.0,5180.52,Low Value
15727.0,5159.06,Low Value
13599.0,5149.92,Low Value
17858.0,5140.66,Low Value
15903.0,5126.76,Low Value
13941.0,5112.96,Low Value
15046.0,5090.42,Low Value
16700.0,5076.55,Low Value
13139.0,5064.94,Low Value
12432.0,5059.32,Low Value
17602.0,5054.42,Low Value
15301.0,5049.95,Low Value
17426.0,5037.26,Low Value
15719.0,5030.07,Low Value
14755.0,5010.28,Low Value
14562.0,5006.77,Low Value
12444.0,5005.46,Low Value
14329.0,4975.24,Low Value
15032.0,4959.1,Low Value
12437.0,4951.41,Low Value
12700.0,4939.99,Low Value
14709.0,4921.04,Low Value
15786.0,4919.0,Low Value
15547.0,4910.6,Low Value
17133.0,4892.240000000001,Low Value
12664.0,4881.88,Low Value
12688.0,4873.8099999999995,Low Value
14292.0,4871.93,Low Value
17652.0,4867.72,Low Value
15738.0,4812.42,Low Value
13013.0,4810.9400000000005,Low Value
15298.0,4799.9,Low Value
15555.0,4794.86,Low Value
15187.0,4777.18,Low Value
17365.0,4767.36,Low Value
12955.0,4757.16,Low Value
14180.0,4748.52,Low Value
15152.0,4745.69,Low Value
16722.0,4730.81,Low Value
17690.0,4726.8,Low Value
12714.0,4708.86,Low Value
14135.0,4690.31,Low Value
14191.0,4684.76,Low Value
15291.0,4668.3,Low Value
14189.0,4654.08,Low Value
14390.0,4642.57,Low Value
14159.0,4630.35,Low Value
14286.0,4628.75,Low Value
13802.0,4599.42,Low Value
15093.0,4597.02,Low Value
14004.0,4582.64,Low Value
16931.0,4554.87,Low Value
17068.0,4552.14,Low Value
17613.0,4544.55,Low Value
12484.0,4527.32,Low Value
13267.0,4521.49,Low Value
15299.0,4507.01,Low Value
12524.0,4485.72,Low Value
17975.0,4483.26,Low Value
14426.0,4481.67,Low Value
12627.0,4478.53,Low Value
17364.0,4462.68,Low Value
16984.0,4459.52,Low Value
13069.0,4431.44,Low Value
14085.0,4421.29,Low Value
15955.0,4416.26,Low Value
16626.0,4413.1,Low Value
15874.0,4405.88,Low Value
14534.0,4397.3,Low Value
12712.0,4396.13,Low Value
13505.0,4393.63,Low Value
12752.0,4366.78,Low Value
16945.0,4345.5,Low Value
14016.0,4341.21,Low Value
14800.0,4331.79,Low Value
17567.0,4331.48,Low Value
18251.0,4314.72,Low Value
12347.0,4310.0,Low Value
17937.0,4301.22,Low Value
15034.0,4274.16,Low Value
14422.0,4263.64,Low Value
12500.0,4257.82,Low Value
17419.0,4226.57,Low Value
14525.0,4215.9,Low Value
15804.0,4206.39,Low Value
15971.0,4199.85,Low Value
12747.0,4196.01,Low Value
14146.0,4191.0,Low Value
14277.0,4188.0,Low Value
12949.0,4167.22,Low Value
13384.0,4151.93,Low Value
15570.0,4148.82,Low Value
13988.0,4147.96,Low Value
12569.0,4124.69,Low Value
17920.0,4119.5,Low Value
16592.0,4113.68,Low Value
13555.0,4098.88,Low Value
16401.0,4098.32,Low Value
18041.0,4097.37,Low Value
16670.0,4095.9,Low Value
12749.0,4090.88,Low Value
14092.0,4076.91,Low Value
12449.0,4067.29,Low Value
17377.0,4058.32,Low Value
18087.0,4055.7199999999993,Low Value
14401.0,4051.48,Low Value
12656.0,4051.17,Low Value
16549.0,4034.9,Low Value
13815.0,4027.36,Low Value
15514.0,4023.7200000000003,Low Value
17940.0,4020.04,Low Value
12957.0,4017.54,Low Value
12867.0,4009.34,Low Value
12378.0,4008.62,Low Value
16186.0,4006.94,Low Value
12841.0,3991.58,Low Value
17001.0,3989.57,Low Value
15416.0,3984.32,Low Value
12779.0,3981.36,Low Value
12727.0,3980.7,Low Value
14547.0,3974.75,Low Value
14299.0,3965.62,Low Value
13523.0,3964.88,Low Value
15529.0,3962.6,Low Value
17611.0,3961.12,Low Value
13183.0,3957.78,Low Value
17769.0,3957.43,Low Value
17651.0,3945.0,Low Value
12473.0,3928.0499999999997,Low Value
17593.0,3923.86,Low Value
14739.0,3902.28,Low Value
13999.0,3901.81,Low Value
14291.0,3883.25,Low Value
15195.0,3861.0,Low Value
18073.0,3859.82,Low Value
12662.0,3849.78,Low Value
16717.0,3843.08,Low Value
13266.0,3834.2599999999998,Low Value
17091.0,3827.76,Low Value
16327.0,3820.27,Low Value
12755.0,3811.95,Low Value
12597.0,3811.22,Low Value
15867.0,3810.14,Low Value
13435.0,3809.8900000000003,Low Value
12668.0,3807.15,Low Value
16145.0,3799.4900000000002,Low Value
16655.0,3789.52,Low Value
16168.0,3787.6,Low Value
16019.0,3786.2400000000002,Low Value
12562.0,3781.7400000000002,Low Value
17173.0,3766.6,Low Value
13124.0,3756.33,Low Value
12429.0,3750.4,Low Value
14145.0,3742.2,Low Value
13552.0,3740.07,Low Value
16570.0,3738.4,Low Value
12502.0,3723.87,Low Value
12647.0,3722.82,Low Value
13680.0,3719.12,Low Value
17238.0,3719.1,Low Value
16240.0,3718.8,Low Value
14364.0,3717.35,Low Value
15845.0,3711.77,Low Value
15622.0,3709.56,Low Value
17819.0,3704.87,Low Value
15379.0,3703.29,Low Value
14282.0,3701.44,Low Value
12553.0,3692.28,Low Value
16253.0,3683.86,Low Value
13148.0,3683.26,Low Value
15581.0,3675.77,Low Value
15296.0,3672.86,Low Value
16904.0,3653.75,Low Value
15808.0,3651.27,Low Value
12417.0,3649.1,Low Value
13426.0,3641.32,Low Value
12619.0,3641.24,Low Value
16440.0,3640.67,Low Value
13381.0,3639.31,Low Value
17230.0,3638.41,Low Value
17528.0,3628.5,Low Value
13327.0,3627.77,Low Value
13520.0,3624.35,Low Value
13082.0,3613.63,Low Value
18079.0,3613.15,Low Value
16712.0,3611.31,Low Value
15505.0,3610.96,Low Value
13137.0,3603.29,Low Value
14543.0,3599.73,Low Value
15484.0,3590.41,Low Value
14132.0,3586.0299999999997,Low Value
16242.0,3579.86,Low Value
17576.0,3564.83,Low Value
14040.0,3560.32,Low Value
17203.0,3560.08,Low Value
17491.0,3558.87,Low Value
15544.0,3546.71,Low Value
14503.0,3543.26,Low Value
12370.0,3541.94,Low Value
13448.0,3534.69,Low Value
12454.0,3528.34,Low Value
17160.0,3518.03,Low Value
13953.0,3515.68,Low Value
15113.0,3509.43,Low Value
16131.0,3506.54,Low Value
13334.0,3502.32,Low Value
14907.0,3501.1,Low Value
16458.0,3482.7400000000002,Low Value
14395.0,3479.91,Low Value
13993.0,3466.36,Low Value
13014.0,3466.2799999999997,Low Value
15410.0,3450.84,Low Value
16360.0,3450.41,Low Value
15129.0,3447.4,Low Value
13536.0,3444.39,Low Value
15974.0,3442.15,Low Value
17725.0,3439.08,Low Value
15676.0,3435.76,Low Value
14221.0,3432.8,Low Value
12406.0,3415.3,Low Value
15981.0,3408.48,Low Value
17758.0,3408.2000000000003,Low Value
13437.0,3408.06,Low Value
17669.0,3406.7200000000003,Low Value
13198.0,3401.2400000000002,Low Value
15228.0,3386.71,Low Value
13842.0,3385.62,Low Value
16011.0,3352.96,Low Value
14227.0,3350.96,Low Value
16818.0,3349.57,Low Value
16607.0,3347.71,Low Value
17183.0,3347.31,Low Value
12643.0,3344.64,Low Value
12613.0,3344.38,Low Value
13015.0,3339.64,Low Value
12594.0,3338.2200000000003,Low Value
16556.0,3313.79,Low Value
13373.0,3312.25,Low Value
14841.0,3295.76,Low Value
15632.0,3285.31,Low Value
12480.0,3281.63,Low Value
15764.0,3279.97,Low Value
17723.0,3276.4000000000005,Low Value
14702.0,3251.79,Low Value
13952.0,3251.071,Low Value
13047.0,3237.54,Low Value
15708.0,3235.25,Low Value
14175.0,3222.3,Low Value
13880.0,3219.77,Low Value
15443.0,3213.59,Low Value
14388.0,3212.84,Low Value
16107.0,3204.1600000000003,Low Value
13868.0,3192.54,Low Value
13758.0,3190.55,Low Value
14844.0,3189.81,Low Value
17220.0,3187.55,Low Value
17050.0,3185.64,Low Value
12456.0,3181.04,Low Value
17672.0,3178.17,Low Value
13268.0,3174.75,Low Value
16837.0,3170.98,Low Value
16041.0,3166.4,Low Value
17863.0,3160.0,Low Value
15065.0,3158.13,Low Value
17685.0,3155.83,Low Value
15861.0,3146.92,Low Value
14235.0,3144.86,Low Value
17231.0,3124.72,Low Value
13685.0,3119.44,Low Value
16678.0,3109.99,Low Value
13742.0,3107.87,Low Value
14099.0,3104.17,Low Value
15491.0,3100.09,Low Value
14257.0,3099.7200000000003,Low Value
14565.0,3099.12,Low Value
13135.0,3096.0,Low Value
16156.0,3092.04,Low Value
13362.0,3090.7400000000002,Low Value
16218.0,3084.68,Low Value
13869.0,3083.65,Low Value
17059.0,3080.39,Low Value
15998.0,3080.22,Low Value
18272.0,3078.58,Low Value
12910.0,3075.04,Low Value
13631.0,3070.42,Low Value
16940.0,3049.88,Low Value
16393.0,3040.96,Low Value
16326.0,3039.2200000000003,Low Value
17799.0,3039.17,Low Value
16905.0,3037.6,Low Value
16709.0,3029.87,Low Value
12598.0,3023.08,Low Value
12395.0,3018.63,Low Value
18094.0,3017.3,Low Value
14456.0,3017.28,Low Value
12754.0,3010.74,Low Value
15521.0,3000.2,Low Value
17659.0,2999.46,Low Value
17504.0,2997.0299999999997,Low Value
12670.0,2996.05,Low Value
14307.0,2995.72,Low Value
15687.0,2993.1,Low Value
14639.0,2984.49,Low Value
14032.0,2975.59,Low Value
15854.0,2969.12,Low Value
16497.0,2965.69,Low Value
17924.0,2962.5,Low Value
16686.0,2959.88,Low Value
14868.0,2953.59,Low Value
12916.0,2944.95,Low Value
17444.0,2940.04,Low Value
16316.0,2938.91,Low Value
17512.0,2924.9900000000002,Low Value
15606.0,2920.16,Low Value
12906.0,2919.81,Low Value
14112.0,2915.15,Low Value
12438.0,2906.85,Low Value
13451.0,2898.2599999999998,Low Value
17644.0,2895.64,Low Value
18144.0,2888.75,Low Value
12408.0,2888.55,Low Value
13735.0,2883.54,Low Value
16633.0,2883.1,Low Value
14251.0,2879.7000000000003,Low Value
17728.0,2876.01,Low Value
14005.0,2874.72,Low Value
15628.0,2870.2400000000002,Low Value
13901.0,2867.2,Low Value
12685.0,2863.08,Low Value
14530.0,2862.11,Low Value
18145.0,2861.55,Low Value
14535.0,2854.84,Low Value
14711.0,2839.62,Low Value
14852.0,2836.69,Low Value
14842.0,2824.69,Low Value
16928.0,2814.7,Low Value
16871.0,2812.34,Low Value
12356.0,2811.43,Low Value
18230.0,2810.2000000000003,Low Value
17596.0,2806.69,Low Value
14572.0,2804.54,Low Value
16081.0,2799.42,Low Value
13769.0,2796.51,Low Value
14903.0,2795.33,Low Value
12578.0,2794.51,Low Value
12758.0,2791.59,Low Value
17739.0,2791.35,Low Value
14626.0,2791.27,Low Value
16764.0,2790.9500000000003,Low Value
17213.0,2781.23,Low Value
12388.0,2780.66,Low Value
15984.0,2780.63,Low Value
14121.0,2780.15,Low Value
15993.0,2777.67,Low Value
13870.0,2770.94,Low Value
15114.0,2760.56,Low Value
13971.0,2758.26,Low Value
13230.0,2755.63,Low Value
15321.0,2748.31,Low Value
17084.0,2747.9900000000002,Low Value
12669.0,2744.0299999999997,Low Value
13174.0,2742.82,Low Value
14854.0,2740.03,Low Value
16003.0,2735.37,Low Value
12840.0,2726.77,Low Value
15673.0,2726.23,Low Value
12380.0,2724.81,Low Value
17838.0,2720.8,Low Value
14125.0,2720.63,Low Value
14808.0,2718.6,Low Value
15356.0,2718.03,Low Value
12708.0,2712.91,Low Value
16938.0,2711.6800000000003,Low Value
15696.0,2711.11,Low Value
17069.0,2709.7000000000003,Low Value
13285.0,2709.12,Low Value
15796.0,2708.61,Low Value
13654.0,2707.33,Low Value
14107.0,2703.23,Low Value
14732.0,2702.4900000000002,Low Value
17386.0,2686.42,Low Value
12625.0,2683.82,Low Value
13883.0,2674.48,Low Value
18097.0,2662.4,Low Value
14713.0,2662.2,Low Value
12360.0,2662.06,Low Value
14439.0,2661.24,Low Value
15671.0,2657.13,Low Value
12721.0,2656.13,Low Value
13851.0,2651.46,Low Value
16618.0,2647.59,Low Value
13658.0,2639.17,Low Value
17655.0,2638.94,Low Value
13771.0,2634.45,Low Value
12520.0,2634.26,Low Value
17402.0,2633.85,Low Value
18260.0,2628.35,Low Value
15752.0,2626.6,Low Value
13422.0,2626.3,Low Value
13644.0,2624.26,Low Value
17346.0,2622.88,Low Value
18210.0,2621.38,Low Value
16255.0,2619.91,Low Value
14262.0,2618.23,Low Value
13021.0,2616.38,Low Value
15782.0,2614.7400000000002,Low Value
14397.0,2612.96,Low Value
18075.0,2611.75,Low Value
12836.0,2610.36,Low Value
12726.0,2609.1,Low Value
13136.0,2607.61,Low Value
13983.0,2603.43,Low Value
17317.0,2600.34,Low Value
17965.0,2599.19,Low Value
12600.0,2599.04,Low Value
14408.0,2599.03,Low Value
13895.0,2593.07,Low Value
16919.0,2592.25,Low Value
16241.0,2590.31,Low Value
14243.0,2588.77,Low Value
13804.0,2588.39,Low Value
18077.0,2584.41,Low Value
13911.0,2580.91,Low Value
14546.0,2573.93,Low Value
18245.0,2567.06,Low Value
15485.0,2564.5,Low Value
16308.0,2560.0,Low Value
15033.0,2557.18,Low Value
16912.0,2555.58,Low Value
14334.0,2552.21,Low Value
14676.0,2548.2400000000002,Low Value
14776.0,2538.3,Low Value
17700.0,2534.64,Low Value
15572.0,2533.42,Low Value
14659.0,2529.93,Low Value
17314.0,2527.92,Low Value
14701.0,2526.09,Low Value
13394.0,2520.02,Low Value
17449.0,2519.21,Low Value
15245.0,2515.84,Low Value
13344.0,2511.69,Low Value
12352.0,2506.04,Low Value
13695.0,2504.13,Low Value
13471.0,2501.84,Low Value
15932.0,2495.87,Low Value
16477.0,2494.46,Low Value
15271.0,2493.34,Low Value
12483.0,2484.98,Low Value
12913.0,2483.63,Low Value
12517.0,2481.6,Low Value
14315.0,2481.13,Low Value
13507.0,2479.16,Low Value
13588.0,2478.95,Low Value
17682.0,2474.33,Low Value
17188.0,2474.23,Low Value
14766.0,2473.37,Low Value
16710.0,2467.99,Low Value
17164.0,2467.35,Low Value
12455.0,2466.86,Low Value
17131.0,2463.17,Low Value
15750.0,2463.05,Low Value
13784.0,2462.79,Low Value
13975.0,2461.2400000000002,Low Value
15674.0,2446.6,Low Value
14163.0,2445.91,Low Value
14502.0,2429.83,Low Value
17071.0,2429.03,Low Value
15527.0,2428.53,Low Value
13949.0,2427.32,Low Value
16143.0,2424.94,Low Value
17722.0,2424.04,Low Value
15089.0,2420.84,Low Value
15373.0,2415.91,Low Value
12397.0,2409.9,Low Value
17589.0,2404.17,Low Value
15980.0,2398.86,Low Value
18065.0,2392.83,Low Value
13141.0,2388.75,Low Value
15370.0,2386.05,Low Value
14493.0,2383.2400000000002,Low Value
14239.0,2380.85,Low Value
15270.0,2379.49,Low Value
13722.0,2375.41,Low Value
17434.0,2373.82,Low Value
13908.0,2369.55,Low Value
17530.0,2367.12,Low Value
15755.0,2364.25,Low Value
12457.0,2363.23,Low Value
14930.0,2362.96,Low Value
14030.0,2358.84,Low Value
17634.0,2358.59,Low Value
14440.0,2357.6800000000003,Low Value
15140.0,2354.25,Low Value
14309.0,2352.53,Low Value
12704.0,2340.84,Low Value
18259.0,2338.6000000000004,Low Value
12584.0,2338.15,Low Value
18257.0,2337.63,Low Value
15281.0,2332.15,Low Value
12782.0,2330.92,Low Value
15785.0,2328.9700000000003,Low Value
17313.0,2328.84,Low Value
17744.0,2322.4,Low Value
17211.0,2317.2200000000003,Low Value
14290.0,2314.65,Low Value
15365.0,2314.32,Low Value
17954.0,2314.13,Low Value
13704.0,2308.06,Low Value
15288.0,2306.52,Low Value
16550.0,2298.97,Low Value
15105.0,2298.93,Low Value
13115.0,2294.78,Low Value
15704.0,2293.62,Low Value
12615.0,2291.19,Low Value
17696.0,2285.71,Low Value
12684.0,2283.63,Low Value
14554.0,2279.4900000000002,Low Value
13994.0,2274.14,Low Value
13317.0,2273.68,Low Value
14466.0,2272.4,Low Value
16782.0,2267.9500000000003,Low Value
16057.0,2263.12,Low Value
16209.0,2262.62,Low Value
16293.0,2248.9900000000002,Low Value
13700.0,2248.63,Low Value
17442.0,2248.56,Low Value
14432.0,2248.5,Low Value
15235.0,2247.51,Low Value
16735.0,2247.41,Low Value
16771.0,2242.61,Low Value
13527.0,2242.36,Low Value
14211.0,2241.1,Low Value
14560.0,2237.77,Low Value
16076.0,2234.73,Low Value
18242.0,2232.4900000000002,Low Value
12783.0,2225.91,Low Value
13365.0,2225.37,Low Value
15834.0,2225.15,Low Value
15665.0,2222.21,Low Value
14825.0,2221.01,Low Value
15811.0,2218.62,Low Value
12876.0,2218.02,Low Value
14226.0,2214.79,Low Value
16743.0,2213.13,Low Value
15722.0,2211.21,Low Value
12653.0,2209.85,Low Value
13862.0,2209.36,Low Value
15797.0,2207.4,Low Value
15179.0,2206.95,Low Value
17591.0,2203.67,Low Value
15123.0,2199.31,Low Value
13831.0,2198.45,Low Value
14700.0,2195.1,Low Value
16628.0,2188.05,Low Value
17406.0,2184.42,Low Value
15394.0,2183.54,Low Value
12909.0,2178.67,Low Value
12856.0,2170.78,Low Value
12501.0,2169.39,Low Value
14341.0,2166.98,Low Value
12633.0,2163.98,Low Value
12935.0,2160.7,Low Value
16456.0,2158.18,Low Value
14407.0,2157.73,Low Value
16379.0,2157.4,Low Value
13224.0,2155.95,Low Value
16966.0,2154.97,Low Value
17272.0,2148.63,Low Value
14828.0,2139.76,Low Value
12560.0,2134.01,Low Value
13517.0,2128.42,Low Value
18061.0,2119.41,Low Value
13632.0,2118.93,Low Value
14360.0,2118.03,Low Value
18008.0,2116.19,Low Value
14691.0,2114.33,Low Value
13755.0,2108.06,Low Value
14640.0,2107.38,Low Value
18173.0,2106.84,Low Value
18093.0,2106.52,Low Value
14461.0,2103.06,Low Value
15058.0,2102.54,Low Value
15815.0,2100.6,Low Value
13126.0,2099.64,Low Value
12610.0,2099.54,Low Value
17861.0,2097.88,Low Value
17400.0,2097.84,Low Value
16875.0,2095.53,Low Value
17191.0,2093.68,Low Value
14306.0,2093.32,Low Value
13265.0,2092.66,Low Value
17490.0,2092.32,Low Value
13297.0,2089.85,Low Value
13571.0,2088.94,Low Value
18044.0,2088.6,Low Value
14810.0,2085.33,Low Value
16954.0,2085.08,Low Value
17768.0,2081.9,Low Value
16407.0,2079.68,Low Value
14696.0,2078.95,Low Value
14515.0,2076.89,Low Value
14209.0,2073.43,Low Value
18241.0,2073.09,Low Value
18231.0,2071.77,Low Value
18219.0,2069.77,Low Value
12948.0,2064.95,Low Value
12928.0,2062.7000000000003,Low Value
16281.0,2062.06,Low Value
14409.0,2059.4500000000003,Low Value
12518.0,2056.89,Low Value
17667.0,2055.51,Low Value
14188.0,2054.36,Low Value
16150.0,2053.02,Low Value
17086.0,2050.08,Low Value
17612.0,2048.45,Low Value
14232.0,2048.07,Low Value
18283.0,2045.53,Low Value
13495.0,2044.8700000000001,Low Value
17597.0,2044.3700000000001,Low Value
13450.0,2043.7199999999998,Low Value
14001.0,2043.0800000000002,Low Value
12585.0,2040.1,Low Value
17846.0,2033.1,Low Value
13630.0,2031.78,Low Value
16358.0,2027.5,Low Value
16409.0,2022.98,Low Value
14482.0,2022.81,Low Value
15341.0,2020.52,Low Value
17625.0,2020.4,Low Value
13593.0,2011.88,Low Value
18069.0,2009.24,Low Value
15372.0,2007.3999999999999,Low Value
16098.0,2005.63,Low Value
14217.0,2004.98,Low Value
14544.0,2004.3,Low Value
17082.0,2003.85,Low Value
16754.0,2002.4,Low Value
18188.0,2001.04,Low Value
13305.0,2000.86,Low Value
16698.0,1998.0,Low Value
17679.0,1992.1100000000001,Low Value
